gene_id	transcript_id	L01_fpkm	L02_fpkm	L03_fpkm	L04_fpkm	L05_fpkm	L06_fpkm	L07_fpkm	L08_fpkm	L09_fpkm
XLOC_019470	TCONS_00057400	5.21956	6.233728	1.977301	6.628755	9.094491	9.155643	11.485971	11.277663	10.938923
XLOC_019470	TCONS_00057401	3.009436	1.761544	5.761261	1.958316	1.218869	0.32331	0.358271	0.304968	0.207645
XLOC_019481	TCONS_00057405	217.349976	220.347336	235.845627	176.462936	168.450775	210.803848	250.009995	261.767395	272.962982
XLOC_019482	TCONS_00057406	14.855886	11.304375	12.184056	13.443379	11.764005	10.495564	11.15216	13.169329	14.695744
XLOC_019482	TCONS_00057407	8.493446	9.778409	9.228353	3.597304	5.033387	5.750465	11.707073	10.473573	7.910002
XLOC_019485	TCONS_00057408	4.885813	4.595861	4.894948	4.020596	4.381098	3.942561	1.705939	1.240694	1.540681
XLOC_019486	TCONS_00057409	914.970154	932.044312	1011.494995	1106.53479	1073.211304	935.100342	738.919617	813.256226	799.490173
XLOC_019488	TCONS_00057413	0.786609	1.358881	0.576536	1.039115	1.250559	2.791981	0.780988	0.33383	0.404545
XLOC_019489	TCONS_00057415	2.2518	2.098001	4.411314	2.758819	1.640591	1.933807	1.219574	5.166521	4.205116
XLOC_019491	TCONS_00057416	15.137352	14.820558	17.130701	12.28762	11.260935	13.624467	28.297617	22.59934	13.801681
XLOC_019492	TCONS_00057417	12.173261	11.392745	13.147741	11.899675	11.073533	13.139805	13.11505	15.45583	14.395413
XLOC_019503	TCONS_00057426	2.742205	7.539127	7.482395	6.836066	1.202086	7.68438	0.985509	7.56145	5.041896
XLOC_019504	TCONS_00057428	1.046493	0.809763	1.174021	1.249923	1.025493	1.258397	1.24074	0.933172	1.016105
XLOC_019507	TCONS_00057432	1.842971	1.67337	2.063681	1.539109	1.494376	1.664894	2.521207	2.132047	1.887486
XLOC_019510	TCONS_00057433	6.790893	14.567308	14.534106	6.807262	20.37993	2.279569	9.02092	13.723024	19.173372
XLOC_019511	TCONS_00057434	2.960829	3.179117	3.398998	2.519072	3.029914	2.775239	5.584789	2.866346	3.334316
XLOC_019511	TCONS_00057435	2.699481	2.463027	2.614508	2.543982	3.084349	1.821387	6.256558	2.468224	2.340601
XLOC_019511	TCONS_00057436	1.640846	2.13793	1.235977	1.241768	1.842537	1.770217	2.504514	1.345024	1.219441
XLOC_019514	TCONS_00057440	0.949008	1.313526	1.09166	2.896877	1.886467	1.830867	2.297036	1.294707	0.075823
XLOC_019514	TCONS_00057441	0.561664	0.171657	0.151395	1.083287	2.436511	2.112458	0.331792	0.549422	1.651157
XLOC_019515	TCONS_00057442	0.985569	0.66366	0.670679	1.752266	2.320985	1.796362	1.423529	1.352322	1.712133
XLOC_019514	TCONS_00057443	2.469313	1.953025	1.468348	1.552181	2.3393	1.846133	2.593005	2.09809	1.17065
XLOC_019516	TCONS_00057446	3.044293	2.794126	2.793182	2.212687	2.911974	2.366019	3.049686	2.876721	2.955781
XLOC_019522	TCONS_00057448	0.723549	8.981792	3.589646	0.332332	0.605782	0.827361	9.088635	0.951375	0.933896
